comparison,comparison_label,metric,left_condition,right_condition,n_proposals,left_mean_ai_metric,right_mean_ai_metric,mean_difference_left_minus_right,median_difference_left_minus_right,wilcoxon_statistic,p_value
all_ai,All AI,sparseness,baseline,one_at_a_time,23,0.02172818457316741,0.012032559447990056,0.009695625125177357,0.01025979824314341,0.0,2.384185791015625e-07
all_ai,All AI,sparseness,baseline,persona,23,0.02172818457316741,0.012033711751619006,0.009694472821548407,0.00962535082099301,0.0,2.384185791015625e-07
all_ai,All AI,sparseness,one_at_a_time,persona,23,0.012032559447990056,0.012033711751619006,-1.152303628949541e-06,1.8869179289811647e-05,129.0,0.7997725009918213
claude,Claude,centroid_loo,baseline,one_at_a_time,23,0.04842306427853014,0.020729480943930848,0.027693583334599287,0.027994251529336645,0.0,2.384185791015625e-07
claude,Claude,centroid_loo,baseline,persona,23,0.04842306427853014,0.021605862337953186,0.026817201940576952,0.026790440898484195,0.0,2.384185791015625e-07
claude,Claude,centroid_loo,one_at_a_time,persona,23,0.020729480943930848,0.021605862337953186,-0.0008763813940223372,-0.0006800304293343197,91.0,0.16010499000549316
claude,Claude,global_centroid_dist,baseline,one_at_a_time,23,0.024655619831746047,0.01072608915941993,0.013929530672326112,0.014951142540498893,0.0,2.384185791015625e-07
claude,Claude,global_centroid_dist,baseline,persona,23,0.024655619831746047,0.011080190894713416,0.013575428937032629,0.013928146539881059,0.0,2.384185791015625e-07
claude,Claude,global_centroid_dist,one_at_a_time,persona,23,0.01072608915941993,0.011080190894713416,-0.000354101735293485,-0.0003804866153950745,96.0,0.21117830276489258
claude,Claude,mean_pairwise,baseline,one_at_a_time,23,0.06783718466758729,0.029509369705034344,0.03832781496255294,0.039816385507583624,0.0,2.384185791015625e-07
claude,Claude,mean_pairwise,baseline,persona,23,0.06783718466758729,0.03061172858528469,0.0372254560823026,0.03931261301040648,0.0,2.384185791015625e-07
claude,Claude,mean_pairwise,one_at_a_time,persona,23,0.029509369705034344,0.03061172858528469,-0.0011023588802503506,-0.001003050804138185,94.0,0.18954229354858398
claude,Claude,medoid_dist,baseline,one_at_a_time,23,0.04305554658606432,0.018693437006162564,0.024362109579901765,0.02422792514165243,0.0,2.384185791015625e-07
claude,Claude,medoid_dist,baseline,persona,23,0.04305554658606432,0.019903104158415307,0.023152442427649012,0.023298146327336636,0.0,2.384185791015625e-07
claude,Claude,medoid_dist,one_at_a_time,persona,23,0.018693437006162564,0.019903104158415307,-0.00120966715225275,-0.0009297788143157945,64.0,0.02332472801208496
claude,Claude,mst_dispersion,baseline,one_at_a_time,23,0.058800394725108486,0.025365162500436758,0.03343523222467173,0.033866175015767414,0.0,2.384185791015625e-07
claude,Claude,mst_dispersion,baseline,persona,23,0.058800394725108486,0.02732565899689993,0.031474735728208574,0.032373603185017905,0.0,2.384185791015625e-07
claude,Claude,mst_dispersion,one_at_a_time,persona,23,0.025365162500436758,0.02732565899689993,-0.0019604964964631657,-0.0016040007273356097,50.0,0.006032705307006836
