article_idx,pmid,dominant_topic,topic_prob_0,topic_prob_1,topic_prob_2,topic_prob_3,topic_prob_4,topic_prob_5,topic_prob_6,topic_prob_7,topic_prob_8,topic_prob_9,topic_prob_10,topic_prob_11,topic_prob_12,topic_prob_13,topic_prob_14
51,24352616,5,0.051322467625141144,0.14452041685581207,0.000727587437722832,0.15488600730895996,0.061091307550668716,0.49879249930381775,0.04334769770503044,0.0007273856899701059,0.0007275035022757947,0.0007274513482116163,0.0007275281241163611,0.0007273987284861505,0.0007273782975971699,0.04022000730037689,0.0007273628725670278
52,23831316,1,0.0007020591292530298,0.5897942781448364,0.21061918139457703,0.0007019826443865895,0.0007020191405899823,0.0007018899195827544,0.0007019256590865552,0.0007018722826614976,0.0007018414908088744,0.03962501510977745,0.05434764549136162,0.025602828711271286,0.07369382679462433,0.0007018477190285921,0.0007018197793513536
53,25289188,0,0.5752311944961548,0.002531863981857896,0.0025318674743175507,0.0025321028660982847,0.002531812060624361,0.0025319999549537897,0.00253203883767128,0.0025320379063487053,0.0025319752749055624,0.002532033482566476,0.002532079117372632,0.2724688947200775,0.002532430225983262,0.12191562354564667,0.0025320437271147966
54,25264628,3,0.00043795767123810947,0.17976392805576324,0.00043770798947662115,0.5916823744773865,0.0004377348814159632,0.00043770187767222524,0.00043782987631857395,0.0004376770812086761,0.0004376883734948933,0.0004377665463835001,0.0004377197183202952,0.15177693963050842,0.00043769818148575723,0.07196144014596939,0.0004378444573376328
55,25309529,7,0.0008033884223550558,0.0008033952326513827,0.0008033516933210194,0.0008034142083488405,0.11111948639154434,0.0008033504709601402,0.35119229555130005,0.38502171635627747,0.0008033874328248203,0.0008034291095100343,0.0008033859194256365,0.10790824890136719,0.03672449290752411,0.0008033278281800449,0.0008033232297748327
56,25295042,4,0.0008658908773213625,0.0008658734732307494,0.0008662148029543459,0.0008660611347295344,0.7938449382781982,0.0008659945451654494,0.04875446856021881,0.013374903239309788,0.0008659943123348057,0.1344999074935913,0.0008659003651700914,0.0008660497842356563,0.0008658921578899026,0.0008660631137900054,0.0008658788283355534
57,25352737,11,0.0008970652706921101,0.0008969493792392313,0.000896897807251662,0.0008970057824626565,0.0008969667833298445,0.0008969224872998893,0.0008969591581262648,0.0008969703922048211,0.0008971456554718316,0.0008969898335635662,0.11520000547170639,0.5044128894805908,0.0008970570634119213,0.36962324380874634,0.0008969369227997959
58,25285067,10,0.0014818329364061356,0.0014816435286775231,0.0014816728653386235,0.0014818747295066714,0.050534795969724655,0.0014815665781497955,0.0014817571500316262,0.0014818748459219933,0.10339508950710297,0.0014816975453868508,0.3619217574596405,0.129032164812088,0.3402990698814392,0.001481589861214161,0.0014816190814599395
59,25233094,0,0.3700222373008728,0.0015039261197671294,0.0015038697747513652,0.0015041253063827753,0.1386474221944809,0.0015040624421089888,0.04281068220734596,0.0015041034203022718,0.2615642547607422,0.0015040854923427105,0.0015039897989481688,0.1719145029783249,0.001504220417700708,0.0015046308981254697,0.0015039072604849935
60,25279370,8,0.0008659682353027165,0.0008659178274683654,0.0008659206796437502,0.0008658954757265747,0.0008659652667120099,0.0008660629973746836,0.000866185815539211,0.0008660433231852949,0.6679067015647888,0.0008660660241730511,0.0008659850573167205,0.0008660994353704154,0.0008659689920023084,0.3208351135253906,0.0008661010069772601
