proposal_uid,source_group,char_len,word_count,sentence_count,avg_sentence_len,type_token_ratio,comma_rate,digit_rate,uppercase_rate
baseline::gemini-3-pro-preview::10,Gemini,1858,251,13,19.307692307692307,0.6613545816733067,0.0,0.0,0.0263724434876211
baseline::gemini-3-pro-preview::11,Gemini,1837,249,13,19.153846153846153,0.642570281124498,0.0,0.0,0.017964071856287425
baseline::gemini-3-pro-preview::12,Gemini,1792,244,13,18.76923076923077,0.6352459016393442,0.0,0.0,0.022321428571428572
baseline::gemini-3-pro-preview::13,Gemini,1853,236,13,18.153846153846153,0.6949152542372882,0.0,0.0,0.015650296815974095
baseline::gemini-3-pro-preview::14,Gemini,1641,221,13,17.0,0.7013574660633484,0.0,0.002437538086532602,0.030469226081657527
baseline::gemini-3-pro-preview::15,Gemini,1717,237,12,19.75,0.6413502109704642,0.0,0.0,0.0180547466511357
baseline::gemini-3-pro-preview::16,Gemini,1772,238,13,18.307692307692307,0.6638655462184874,0.0,0.0,0.02144469525959368
baseline::gemini-3-pro-preview::17,Gemini,1759,239,13,18.384615384615383,0.6861924686192469,0.0,0.0,0.02046617396247868
baseline::gemini-3-pro-preview::18,Gemini,1800,243,13,18.692307692307693,0.6255144032921811,0.0,0.0,0.018333333333333333
baseline::gemini-3-pro-preview::19,Gemini,1653,220,12,18.333333333333332,0.6681818181818182,0.0,0.0,0.02601330913490623
baseline::gemini-3-pro-preview::20,Gemini,1772,242,13,18.615384615384617,0.6818181818181818,0.0,0.000564334085778781,0.016930022573363433
baseline::gemini-3-pro-preview::21,Gemini,1841,253,13,19.46153846153846,0.6205533596837944,0.0,0.0,0.012493210211841391
baseline::gemini-3-pro-preview::22,Gemini,1879,241,13,18.53846153846154,0.6763485477178424,0.0,0.0005321979776476849,0.013304949441192123
baseline::gemini-3-pro-preview::23,Gemini,1867,250,13,19.23076923076923,0.616,0.0,0.0,0.016604177825388325
