condition,comparison,comparison_label,metric,metric_class,subset_label,n_proposals,human_metric_mean,ai_metric_mean,effect_human_minus_ai_mean,effect_human_minus_ai_median,ai_to_human_ratio_mean,wilcoxon_statistic,p_value,paired_rank_biserial
baseline,claude,Claude,mst_dispersion,exploratory,human_n_gte_3,22,0.029188994205359257,0.04363976229320873,-0.014450768087849475,-0.0144595205783844,1.495075917524977,2.0,1.430511474609375e-06,-0.9090909090909091
baseline,claude,Claude,nn,confirmatory,human_n_gte_3,22,0.027515508008725712,0.041825424541126595,-0.014309916532400881,-0.014474953711032867,1.520067320867306,3.0,2.384185791015625e-06,-0.8181818181818182
baseline,claude,Claude,remote_clique,compatibility,human_n_gte_3,22,0.03463639662121281,0.05066826099699193,-0.016031864375779123,-0.016476154327392578,1.4628617852805312,5.0,4.76837158203125e-06,-0.8181818181818182
baseline,claude,Claude,span90,exploratory,human_n_gte_3,22,0.016011531223180483,0.02269703624827339,-0.006685505025092908,-0.0066453136770444204,1.4175431401222924,14.0,5.245208740234375e-05,-0.7272727272727273
baseline,claude,Claude,sparseness,exploratory,human_n_gte_3,22,0.01267246220783912,0.018633758139501386,-0.005961295931662267,-0.006054221990036418,1.4704133919590339,5.0,4.76837158203125e-06,-0.8181818181818182
baseline,gemini,Gemini,centroid_loo,exploratory,human_n_gte_3,22,0.024106057059707527,0.03332213809538364,-0.009216081035676118,-0.009682407316465618,1.38231391441782,15.0,6.532669067382812e-05,-0.7272727272727273
baseline,gemini,Gemini,global_centroid_dist,exploratory,human_n_gte_3,22,0.01267246220783912,0.017671214659969667,-0.004998752452130544,-0.0049378698295284955,1.3944578701555208,15.0,6.532669067382812e-05,-0.7272727272727273
baseline,gemini,Gemini,mean_pairwise,confirmatory,human_n_gte_3,22,0.03463639662121281,0.04796156666495584,-0.013325170043743017,-0.013468214869499204,1.3847158291166501,15.0,6.532669067382812e-05,-0.7272727272727273
baseline,gemini,Gemini,medoid_dist,exploratory,human_n_gte_3,22,0.02187824443434224,0.030802387270060457,-0.008924142835718213,-0.00967622995376587,1.407900316796443,14.0,5.245208740234375e-05,-0.7272727272727273
baseline,gemini,Gemini,mst_dispersion,exploratory,human_n_gte_3,22,0.029188994205359257,0.041214923154224044,-0.012025928948864794,-0.012038067976633707,1.412002169867736,10.0,2.0503997802734375e-05,-0.8181818181818182
baseline,gemini,Gemini,nn,confirmatory,human_n_gte_3,22,0.027515508008725712,0.03938048513549747,-0.011864977126771752,-0.012127822637557982,1.4312105421789463,10.0,2.0503997802734375e-05,-0.8181818181818182
